,name_origen,name_destino,viajes,car,transit,walk
0,Hondarribia_O,Hondarribia_D,27163.275,11192.814299999998,5541.8231,10428.6376
1,Hondarribia_O,Irun_D,151071.309,76778.7741,35585.066100000004,38707.4688
2,Irun_O,Hondarribia_D,164082.664,88093.7722,40021.9838,35966.908
3,Irun_O,Irun_D,658084.501,179087.1253,103568.0085,375429.36720000004
