name_origen,COMARCA_origen
Andoain,DONOSTIALDEA
Astigarraga,DONOSTIALDEA
Donostia,DONOSTIALDEA
Errenteria,DONOSTIALDEA
Hernani,DONOSTIALDEA
Lasarte-Oria,DONOSTIALDEA
Lezo,DONOSTIALDEA
Oiartzun,DONOSTIALDEA
Pasaia,DONOSTIALDEA
Urnieta,DONOSTIALDEA
Usurbil,DONOSTIALDEA
