,name_origen,name_destino,COMARCA_origen,COMARCA_destino,cat,WORK,FREQUENT,viajes,car,transit,walk,viajes_km,car_km,transit_km,walk_km
31,Aia AM,Astigarraga,UROLA_KOSTA,DONOSTIALDEA,<25,0,1,84.426,59.0982,25.3278,0.0,1257.345,880.1415,377.20349999999996,0.0
32,Aia AM,Astigarraga,UROLA_KOSTA,DONOSTIALDEA,<25,1,0,62.754,43.9278,18.8262,0.0,903.37,632.3589999999999,271.01099999999997,0.0
33,Aia AM,Astigarraga,UROLA_KOSTA,DONOSTIALDEA,<25,1,1,21.28,14.896,6.384,0.0,386.241,270.3687,115.8723,0.0
34,Aia AM,Azkoitia,UROLA_KOSTA,UROLA_KOSTA,<25,0,0,35.479,24.8353,10.643699999999999,0.0,561.659,393.1613,168.4977,0.0
35,Aia AM,Azkoitia,UROLA_KOSTA,UROLA_KOSTA,<25,0,1,72.02,50.414,21.606,0.0,1214.089,849.8623,364.2267,0.0
36,Aia AM,Azkoitia,UROLA_KOSTA,UROLA_KOSTA,<25,1,0,11.867,8.306899999999999,3.5601000000000003,0.0,152.739,106.9173,45.82169999999999,0.0
37,Aia AM,Azkoitia,UROLA_KOSTA,UROLA_KOSTA,<25,1,1,26.542,18.5794,7.9626,0.0,424.647,297.2529,127.3941,0.0
38,Aia AM,Azpeitia,UROLA_KOSTA,UROLA_KOSTA,<25,0,0,122.624,85.8368,36.7872,0.0,1643.722,1150.6054,493.1166,0.0
39,Aia AM,Azpeitia,UROLA_KOSTA,UROLA_KOSTA,<25,0,1,180.534,126.3738,54.160199999999996,0.0,2120.986,1484.6902,636.2958,0.0
40,Aia AM,Azpeitia,UROLA_KOSTA,UROLA_KOSTA,<25,1,0,175.638,122.9466,52.6914,0.0,2318.372,1622.8604,695.5115999999999,0.0
41,Aia AM,Azpeitia,UROLA_KOSTA,UROLA_KOSTA,<25,1,1,26.326,18.4282,7.8978,0.0,316.798,221.7586,95.0394,0.0
42,Aia AM,Beasain,UROLA_KOSTA,GOIERRI,<25,0,0,63.011,44.1077,18.903299999999998,0.0,1241.401,868.9807,372.4203,0.0
43,Aia AM,Beasain,UROLA_KOSTA,GOIERRI,<25,0,1,133.84799999999998,93.6936,40.154399999999995,0.0,2439.327,1707.5289,731.7981,0.0
44,Aia AM,Beasain,UROLA_KOSTA,GOIERRI,<25,1,0,109.277,76.4939,32.7831,0.0,2001.501,1401.0507,600.4503,0.0
45,Aia AM,Beasain,UROLA_KOSTA,GOIERRI,<25,1,1,33.658,23.5606,10.0974,0.0,667.823,467.4761,200.3469,0.0
46,Aia AM,Beasain,UROLA_KOSTA,GOIERRI,>25,0,0,15.912,13.5252,2.3868,0.0,403.137,342.66644999999994,60.47055,0.0
47,Aia AM,Beasain,UROLA_KOSTA,GOIERRI,>25,0,1,12.385,10.52725,1.8577499999999998,0.0,312.89099999999996,265.95735,46.93365,0.0
48,Aia AM,Beasain,UROLA_KOSTA,GOIERRI,>25,1,0,12.601999999999999,10.711699999999999,1.8902999999999999,0.0,320.074,272.0629,48.0111,0.0
49,Aia AM,Berastegi AM,UROLA_KOSTA,TOLOSALDEA,<25,0,0,55.614999999999995,38.9305,16.6845,0.0,726.379,508.4653,217.9137,0.0
50,Aia AM,Berastegi AM,UROLA_KOSTA,TOLOSALDEA,<25,0,1,276.183,193.3281,82.8549,0.0,3222.911,2256.0377,966.8733,0.0
51,Aia AM,Berastegi AM,UROLA_KOSTA,TOLOSALDEA,<25,1,0,105.434,73.8038,31.630200000000002,0.0,1069.853,748.8970999999999,320.9559,0.0
52,Aia AM,Berastegi AM,UROLA_KOSTA,TOLOSALDEA,<25,1,1,37.998,26.598599999999998,11.3994,0.0,418.572,293.0004,125.5716,0.0
53,Aia AM,Bergara,UROLA_KOSTA,ALTO_DEBA,<25,0,0,2.154,1.5077999999999998,0.6462,0.0,51.552,36.0864,15.4656,0.0
54,Aia AM,Bergara,UROLA_KOSTA,ALTO_DEBA,<25,0,1,7.944,5.5607999999999995,2.3832,0.0,176.381,123.46669999999999,52.9143,0.0
55,Aia AM,Bergara,UROLA_KOSTA,ALTO_DEBA,<25,1,0,3.74,2.618,1.122,0.0,85.671,59.9697,25.701300000000003,0.0
56,Aia AM,Bergara,UROLA_KOSTA,ALTO_DEBA,<25,1,1,3.441,2.4087,1.0323,0.0,78.92,55.24399999999999,23.676,0.0
57,Aia AM,Bergara,UROLA_KOSTA,ALTO_DEBA,>25,0,0,27.146,23.0741,4.0719,0.0,757.576,643.9396,113.6364,0.0
58,Aia AM,Bergara,UROLA_KOSTA,ALTO_DEBA,>25,0,1,43.162,36.6877,6.4742999999999995,0.0,1207.502,1026.3767,181.12529999999998,0.0
59,Aia AM,Bergara,UROLA_KOSTA,ALTO_DEBA,>25,1,0,9.553,8.120049999999999,1.43295,0.0,268.396,228.1366,40.2594,0.0
60,Aia AM,Bergara,UROLA_KOSTA,ALTO_DEBA,>25,1,1,16.211000000000002,13.779349999999999,2.4316500000000003,0.0,459.291,390.39735,68.89365,0.0
61,Aia AM,Deba,UROLA_KOSTA,BAJO_DEBA,<25,0,0,76.513,53.5591,22.9539,0.0,1151.575,806.1025,345.47249999999997,0.0
62,Aia AM,Deba,UROLA_KOSTA,BAJO_DEBA,<25,0,1,277.971,194.5797,83.3913,0.0,3820.693,2674.4851,1146.2078999999999,0.0
63,Aia AM,Deba,UROLA_KOSTA,BAJO_DEBA,<25,1,0,126.467,88.5269,37.9401,0.0,1707.585,1195.3095,512.2755,0.0
64,Aia AM,Deba,UROLA_KOSTA,BAJO_DEBA,<25,1,1,48.541,33.978699999999996,14.5623,0.0,624.126,436.8882,187.2378,0.0
65,Aia AM,Donostia,UROLA_KOSTA,DONOSTIALDEA,<25,0,0,1650.044,1155.0308,495.0132,0.0,24421.63,17095.141,7326.489,0.0
66,Aia AM,Donostia,UROLA_KOSTA,DONOSTIALDEA,<25,0,1,4176.044,2923.2308,1252.8132,0.0,56930.439,39851.3073,17079.131699999998,0.0
67,Aia AM,Donostia,UROLA_KOSTA,DONOSTIALDEA,<25,1,0,1444.952,1011.4664,433.4856,0.0,20975.688000000002,14682.9816,6292.7064,0.0
68,Aia AM,Donostia,UROLA_KOSTA,DONOSTIALDEA,<25,1,1,852.2620000000001,596.5834,255.6786,0.0,11757.033,8229.9231,3527.1099,0.0
69,Aia AM,Eibar,UROLA_KOSTA,BAJO_DEBA,<25,0,0,17.852,12.4964,5.3556,0.0,418.865,293.2055,125.65950000000001,0.0
70,Aia AM,Eibar,UROLA_KOSTA,BAJO_DEBA,<25,0,1,22.822,15.975399999999999,6.8466,0.0,530.2520000000001,371.1764,159.0756,0.0
71,Aia AM,Eibar,UROLA_KOSTA,BAJO_DEBA,<25,1,0,12.874,9.011800000000001,3.8622,0.0,306.169,214.3183,91.8507,0.0
72,Aia AM,Eibar,UROLA_KOSTA,BAJO_DEBA,<25,1,1,5.906,4.1342,1.7717999999999998,0.0,142.284,99.5988,42.6852,0.0
73,Aia AM,Eibar,UROLA_KOSTA,BAJO_DEBA,>25,0,0,19.142,16.270699999999998,2.8712999999999997,0.0,558.557,474.77344999999997,83.78354999999999,0.0
74,Aia AM,Eibar,UROLA_KOSTA,BAJO_DEBA,>25,0,1,76.15299999999999,64.73005,11.42295,0.0,2178.428,1851.6638,326.7642,0.0
75,Aia AM,Eibar,UROLA_KOSTA,BAJO_DEBA,>25,1,0,57.505,48.87925,8.62575,0.0,1646.104,1399.1884,246.91559999999998,0.0
76,Aia AM,Eibar,UROLA_KOSTA,BAJO_DEBA,>25,1,1,7.009,5.957649999999999,1.05135,0.0,202.836,172.4106,30.4254,0.0
77,Aia AM,Elgoibar,UROLA_KOSTA,BAJO_DEBA,<25,0,0,29.414,20.5898,8.8242,0.0,616.646,431.6522,184.9938,0.0
78,Aia AM,Elgoibar,UROLA_KOSTA,BAJO_DEBA,<25,0,1,72.254,50.577799999999996,21.676199999999998,0.0,1548.6280000000002,1084.0396,464.58840000000004,0.0
79,Aia AM,Elgoibar,UROLA_KOSTA,BAJO_DEBA,<25,1,0,48.832,34.182399999999994,14.6496,0.0,1045.938,732.1566,313.7814,0.0
80,Aia AM,Elgoibar,UROLA_KOSTA,BAJO_DEBA,<25,1,1,32.297,22.607899999999997,9.6891,0.0,728.8810000000001,510.21669999999995,218.66430000000003,0.0
81,Aia AM,Elgoibar,UROLA_KOSTA,BAJO_DEBA,>25,0,0,3.614,3.0719,0.5420999999999999,0.0,90.865,77.23525,13.629749999999996,0.0
82,Aia AM,Elgoibar,UROLA_KOSTA,BAJO_DEBA,>25,0,1,4.645,3.94825,0.6967499999999999,0.0,120.445,102.37825,18.06675,0.0
83,Aia AM,Errenteria,UROLA_KOSTA,DONOSTIALDEA,<25,0,0,151.845,106.2915,45.5535,0.0,3151.147,2205.8029,945.3441,0.0
84,Aia AM,Errenteria,UROLA_KOSTA,DONOSTIALDEA,<25,0,1,204.623,143.2361,61.3869,0.0,4058.753,2841.1271,1217.6259,0.0
85,Aia AM,Errenteria,UROLA_KOSTA,DONOSTIALDEA,<25,1,0,155.503,108.8521,46.6509,0.0,3211.834,2248.2837999999997,963.5502,0.0
86,Aia AM,Errenteria,UROLA_KOSTA,DONOSTIALDEA,<25,1,1,74.098,51.8686,22.229400000000002,0.0,1481.284,1036.8988,444.3852,0.0
