name_origen,COMARCA_origen
Aia AM,UROLA_KOSTA
Azkoitia,UROLA_KOSTA
Azpeitia,UROLA_KOSTA
Getaria,UROLA_KOSTA
Orio,UROLA_KOSTA
Zarautz,UROLA_KOSTA
Zestoa AM,UROLA_KOSTA
Zumaia,UROLA_KOSTA
