name_origen,COMARCA_origen
Aretxabaleta,ALTO_DEBA
Arrasate/Mondragón,ALTO_DEBA
Bergara,ALTO_DEBA
Eskoriatza AM,ALTO_DEBA
Oñati,ALTO_DEBA
Soraluze-Placencia de las Armas AM,ALTO_DEBA
Urretxu AM,ALTO_DEBA
