name_origen,COMARCA_origen
Alegia AM,TOLOSALDEA
Anoeta AM,TOLOSALDEA
Berastegi AM,TOLOSALDEA
Ibarra,TOLOSALDEA
Legorreta AM,TOLOSALDEA
Tolosa,TOLOSALDEA
Villabona,TOLOSALDEA
Zizurkil AM,TOLOSALDEA
